LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
22052d,9,-35,77503606,2020-07-13 16:53:45.614563,14,-47.7
19a944,-42,-46,147497204,2020-07-13 16:53:52.613729,5,-89.1
22052d,-13,-45,223132731,2020-07-13 16:54:00.177024,49,-48.6
22052d,-11,-45,286793956,2020-07-13 16:54:06.543182,2,-65.7
0a7122,-40,-45,291187877,2020-07-13 16:54:06.983828,38,-90.0
22052d,-20,-46,293507356,2020-07-13 16:54:07.215943,72,-45.0
11c8e1,-42,-46,364721296,2020-07-13 16:54:14.333484,1,-90.0
214ac6,-24,-41,458440998,2020-07-13 16:54:23.702916,16,-77.4
214ac6,-28,-44,480415554,2020-07-13 16:54:25.906192,38,-81.0
214ac6,-30,-44,545251976,2020-07-13 16:54:32.390592,8,-82.8
214ac6,-20,-46,554765692,2020-07-13 16:54:33.339739,33,-34.2
214ac6,-20,-45,571151644,2020-07-13 16:54:34.982108,2,-73.8
22052d,13,-43,607445629,2020-07-13 16:54:38.607634,70,-44.1
