LAP,rssi_max,rssi_min,clk100ns,timestamp,channel,signal
369322,-25,-44,29099738,2020-07-13 14:43:32.718305,13,-78.3
22052d,3,-42,71640889,2020-07-13 14:43:36.969201,40,-53.1
22052d,4,-44,73265856,2020-07-13 14:43:37.138694,10,-52.2
22052d,-8,-12,92835181,2020-07-13 14:43:39.093323,77,-63.0
369322,-30,-44,99185594,2020-07-13 14:43:39.728700,4,-82.8
369322,-29,-44,124512450,2020-07-13 14:43:42.262581,77,-81.9
b834cd,-40,-45,130173869,2020-07-13 14:43:42.828592,51,-91.8
369322,-28,-41,179189519,2020-07-13 14:43:47.730844,5,-81.0
369322,-26,-45,249165111,2020-07-13 14:43:54.727115,75,-79.2
369322,-27,-44,281676375,2020-07-13 14:43:57.979741,13,-80.1
369322,-27,-46,285841020,2020-07-13 14:43:58.393492,17,-53.1
369322,-28,-45,289989156,2020-07-13 14:43:58.812499,21,-75.6
369322,-22,-39,330039506,2020-07-13 14:44:02.815897,14,-75.6
369322,-26,-44,334215971,2020-07-13 14:44:03.232632,18,-79.2
452ae0,-36,-45,336018260,2020-07-13 14:44:03.413880,20,-73.8
369322,-23,-45,345014062,2020-07-13 14:44:04.313382,13,-76.5
6ecefd,-40,-45,375594260,2020-07-13 14:44:07.371389,75,-91.8
369322,-27,-43,429842618,2020-07-13 14:44:12.795654,3,-80.1
7e39f0,-36,-39,431784771,2020-07-13 14:44:12.988651,5,-62.1
369322,-22,-45,439054714,2020-07-13 14:44:13.716400,28,-58.5
369322,-21,-45,468531380,2020-07-13 14:44:16.663910,26,-74.7
369322,-22,-44,473382228,2020-07-13 14:44:17.141909,15,-75.6
369322,-24,-44,488004380,2020-07-13 14:44:18.603782,14,-77.4
369322,-29,-43,582398434,2020-07-13 14:44:28.041928,29,-81.9
369322,-23,-36,583286008,2020-07-13 14:44:28.132431,46,-75.6
369322,-24,-41,597020377,2020-07-13 14:44:29.503682,28,-62.1
6c37a9,-24,-44,630039765,2020-07-13 14:44:32.807319,77,-77.4
369322,-24,-44,641574408,2020-07-13 14:44:33.960700,25,-77.4
22052d,0,-45,652850564,2020-07-13 14:44:35.088202,5,-55.8
216d31,-40,-44,666696968,2020-07-13 14:44:36.474080,66,-90.9
22052d,2,-40,666874250,2020-07-13 14:44:36.492703,19,-54.0
369322,-26,-42,685888041,2020-07-13 14:44:38.390204,22,-79.2
369322,-23,-44,774539214,2020-07-13 14:44:47.253972,16,-76.5
369322,-28,-45,781400350,2020-07-13 14:44:47.944727,7,-81.0
22052d,-1,-44,808517225,2020-07-13 14:44:50.655606,50,-56.7
22052d,-1,-12,826069118,2020-07-13 14:44:52.413859,36,-56.7
22052d,3,-46,830542835,2020-07-13 14:44:52.863362,72,-52.2
22052d,-3,-45,845324311,2020-07-13 14:44:54.332242,71,-57.6
369322,-31,-44,892233818,2020-07-13 14:44:59.023004,23,-83.7
22052d,1,-44,959010338,2020-07-13 14:45:05.702390,74,-54.9
22052d,-1,-46,1000459315,2020-07-13 14:45:09.848281,5,-52.2
121064,-31,-40,1039949912,2020-07-13 14:45:13.806671,60,-71.1
cfa474,-25,-44,1050614848,2020-07-13 14:45:14.869171,55,-78.3
369322,-31,-44,1055462679,2020-07-13 14:45:15.356169,44,-83.7
22052d,5,-44,1061642034,2020-07-13 14:45:15.974674,3,-51.3
369322,-26,-45,1072237821,2020-07-13 14:45:17.034178,45,-70.2
cfa474,-5,-44,1082328014,2020-07-13 14:45:18.040061,55,-60.3
cfa474,-24,-45,1083913089,2020-07-13 14:45:18.201555,25,-77.4
369322,-26,-36,1103503037,2020-07-13 14:45:20.157808,13,-77.4
6c1f7c,-40,-45,1150446448,2020-07-13 14:45:24.855068,76,-84.6
369322,-27,-44,1193505395,2020-07-13 14:45:29.160332,24,-80.1
369322,-28,-44,1202955724,2020-07-13 14:45:30.104329,2,-74.7
47b364,-24,-46,1320105062,2020-07-13 14:45:41.820728,56,-69.3
369322,-28,-44,1320867800,2020-07-13 14:45:41.895984,41,-56.7
22052d,-5,-44,1322227343,2020-07-13 14:45:42.036483,58,-60.3
369322,-28,-44,1336731595,2020-07-13 14:45:43.481993,25,-81.0
369322,-29,-44,1389934336,2020-07-13 14:45:48.803125,15,-81.9
22052d,-1,-44,1446770720,2020-07-13 14:45:54.488261,56,-56.7
369322,-27,-45,1472411059,2020-07-13 14:45:57.051771,3,-80.1
369322,-31,-44,1516512360,2020-07-13 14:46:01.459778,47,-72.9
369322,-29,-44,1551936000,2020-07-13 14:46:05.006038,19,-81.9
369322,-24,-45,1574675288,2020-07-13 14:46:07.278292,26,-77.4
369322,-29,-44,1590413248,2020-07-13 14:46:08.854045,42,-81.9
22052d,2,-40,1641658745,2020-07-13 14:46:13.977432,30,-54.0
22052d,3,-1,1680827521,2020-07-13 14:46:17.895441,6,-53.1
22052d,-3,-36,1731623991,2020-07-13 14:46:22.974706,41,-58.5
369322,-26,-44,1785619991,2020-07-13 14:46:28.367215,16,-73.8
369322,-25,-43,1829482995,2020-07-13 14:46:32.759974,28,-68.4
369322,-28,-44,1832420220,2020-07-13 14:46:33.050978,47,-53.1
86199a,-40,-46,1877359570,2020-07-13 14:46:37.546487,76,-91.8
369322,-25,-38,1910259805,2020-07-13 14:46:40.838245,14,-76.5
039e2c,-40,-45,1911900489,2020-07-13 14:46:40.999120,63,-88.2
22052d,3,-49,1916868264,2020-07-13 14:46:41.496495,5,-53.1
