LAP,pkt_type,status,channel,clkn_high,clk100ns,rssi_max,rssi_min,rssi_avg,rssi_count,timestamp,signal
a1f487,0,28,6,0,37710054,-32,-37,0,41,2020-07-02 16:04:28.077504,-84.6
d173cb,0,60,2,0,96809602,6,-42,0,42,2020-07-02 16:04:33.988737,-50.4
4b7560,0,28,61,0,171792534,1,-40,0,41,2020-07-02 16:04:41.474592,-54.9
c515f1,0,28,33,0,175371269,-34,-44,0,40,2020-07-02 16:04:41.841965,-86.4
d173cb,0,28,65,0,175712450,-1,-36,0,40,2020-07-02 16:04:41.881965,-56.7
d173cb,0,28,78,0,204648942,7,-43,0,40,2020-07-02 16:04:44.759331,-49.5
2a7f3f,0,28,1,0,206623309,16,-43,0,40,2020-07-02 16:04:44.974081,-41.4
2a7f3f,0,28,74,0,263686838,12,-44,0,40,2020-07-02 16:04:50.673067,-45.0
ac0610,0,28,66,0,287295429,9,-44,0,40,2020-07-02 16:04:53.033805,-47.7
ac0610,0,28,66,0,287395446,11,-43,0,40,2020-07-02 16:04:53.049441,-45.9
ac0610,0,28,38,0,291034861,19,-49,0,40,2020-07-02 16:04:53.409685,-38.7
ac0610,0,28,38,0,291134881,19,-52,0,40,2020-07-02 16:04:53.425432,-38.7
ac0610,0,28,48,0,301133961,15,-48,0,41,2020-07-02 16:04:54.416175,-42.3
ac0610,0,28,52,0,304922276,6,-42,0,40,2020-07-02 16:04:54.798424,-50.4
ac0610,0,28,52,0,305022326,6,-43,0,41,2020-07-02 16:04:54.814425,-50.4
ac0610,0,28,52,0,305122381,6,-44,0,40,2020-07-02 16:04:54.831253,-50.4
ac0610,0,28,9,0,309532587,15,-47,0,40,2020-07-02 16:04:55.257923,-42.3
ac0610,0,28,11,0,311231308,18,-43,0,41,2020-07-02 16:04:55.432803,-39.6
ac0610,0,28,62,0,314874024,10,-41,0,41,2020-07-02 16:04:55.791296,-46.8
ac0610,0,28,38,0,322461761,15,-48,0,41,2020-07-02 16:04:56.551419,-42.3
ac0610,0,28,40,0,324544107,15,-45,0,41,2020-07-02 16:04:56.761549,-42.3
ac0610,0,28,72,0,324893467,16,-43,0,41,2020-07-02 16:04:56.797920,-41.4
ac0610,0,28,76,0,328885629,10,-43,0,41,2020-07-02 16:04:57.183693,-46.8
ac0610,0,28,76,0,329185708,13,-45,0,41,2020-07-02 16:04:57.218543,-44.1
ac0610,0,28,48,0,332756438,13,-48,0,41,2020-07-02 16:04:57.577541,-44.1
2a7f3f,0,28,22,0,338198092,16,-43,0,40,2020-07-02 16:04:58.125792,-41.4
ac0610,0,28,11,0,342881174,22,-36,0,40,2020-07-02 16:04:58.609820,-36.0
36c151,0,28,34,0,350394944,19,-11,0,40,2020-07-02 16:04:59.342036,-38.7
36c151,0,28,38,0,354399591,19,-42,0,40,2020-07-02 16:04:59.745909,-38.7
36c151,0,28,10,0,357782613,20,-53,0,40,2020-07-02 16:05:00.082660,-37.8
36c151,0,28,10,0,357882668,19,-51,0,41,2020-07-02 16:05:00.098291,-38.7
36c151,0,28,46,0,362260068,17,-38,0,40,2020-07-02 16:05:00.522033,-40.5
36c151,0,28,18,0,365894875,13,-48,0,40,2020-07-02 16:05:00.889656,-44.1
ff48e6,0,28,52,0,368298173,-6,-43,0,40,2020-07-02 16:05:01.136053,-61.2
36c151,0,28,22,0,369675162,19,-56,0,40,2020-07-02 16:05:01.280030,-38.7
36c151,0,28,22,0,369775177,20,-53,0,40,2020-07-02 16:05:01.295282,-37.8
36c151,0,28,22,0,369875177,19,-50,0,41,2020-07-02 16:05:01.307282,-38.7
36c151,0,28,22,0,369975183,20,-52,0,40,2020-07-02 16:05:01.322282,-37.8
36c151,0,28,62,0,378237101,17,-33,0,40,2020-07-02 16:05:02.127500,-40.5
36c151,0,28,8,0,387282197,17,-45,0,41,2020-07-02 16:05:03.032653,-40.5
2a7f3f,0,28,10,0,389260474,11,-21,0,40,2020-07-02 16:05:03.238149,-45.9
36c151,0,28,44,0,391635904,19,-48,0,41,2020-07-02 16:05:03.466148,-38.7
36c151,0,28,44,0,391735872,21,-51,0,40,2020-07-02 16:05:03.480529,-36.9
36c151,0,28,44,0,391835924,21,-43,0,40,2020-07-02 16:05:03.492025,-36.9
36c151,0,28,44,0,391935953,20,-42,0,40,2020-07-02 16:05:03.503899,-37.8
36c151,0,28,46,0,393785752,5,-38,0,41,2020-07-02 16:05:03.684274,-51.3
2a7f3f,0,28,18,0,397312625,13,-45,0,40,2020-07-02 16:05:04.031898,-44.1
36c151,0,28,20,0,399474416,12,-44,0,40,2020-07-02 16:05:04.255149,-45.0
36c151,0,28,20,0,399574474,12,-44,0,41,2020-07-02 16:05:04.271023,-45.0
36c151,0,28,24,0,403459008,5,-37,0,40,2020-07-02 16:05:04.649895,-51.3
36c151,0,28,58,0,405658078,16,-44,0,40,2020-07-02 16:05:04.871150,-41.4
36c151,0,60,60,0,407612325,15,-40,0,40,2020-07-02 16:05:05.073147,-42.3
36c151,0,28,30,0,409284915,13,-35,0,40,2020-07-02 16:05:05.239272,-44.1
36c151,0,28,30,0,409384894,5,-34,0,40,2020-07-02 16:05:05.255520,-51.3
36c151,0,28,30,0,409484928,8,-34,0,40,2020-07-02 16:05:05.271895,-48.6
36c151,0,28,62,0,409762295,17,-35,0,40,2020-07-02 16:05:05.307269,-40.5
2a7f3f,0,28,65,0,428616179,-2,-40,0,41,2020-07-02 16:05:07.166013,-57.6
2a7f3f,0,28,49,0,444261132,15,-45,0,40,2020-07-02 16:05:08.735134,-42.3
2a7f3f,0,60,55,0,450012306,13,-42,0,41,2020-07-02 16:05:09.302756,-44.1
2a7f3f,0,60,70,0,480810776,7,-40,0,41,2020-07-02 16:05:12.386949,-49.5
2a7f3f,0,28,12,0,517685798,13,-46,0,40,2020-07-02 16:05:16.067861,-44.1
d173cb,0,28,16,0,521694273,5,-46,0,40,2020-07-02 16:05:16.465360,-51.3
d173cb,0,28,16,0,521710287,4,-43,0,41,2020-07-02 16:05:16.472621,-52.2
2a7f3f,0,60,11,0,532411845,13,-48,0,40,2020-07-02 16:05:17.546859,-44.1
2a7f3f,0,28,77,0,535256197,6,-42,0,40,2020-07-02 16:05:17.832358,-50.4
2a7f3f,0,28,62,0,536198906,15,-37,0,40,2020-07-02 16:05:17.928736,-42.3
2a7f3f,0,28,76,0,581909659,5,-41,0,40,2020-07-02 16:05:22.490218,-51.3
6ad125,0,28,78,0,615526567,0,-35,0,41,2020-07-02 16:05:25.852961,-55.8
4b7560,0,28,59,0,675544429,-8,-44,0,41,2020-07-02 16:05:31.853814,-63.0
4b7560,0,28,48,0,711800188,-9,-44,0,40,2020-07-02 16:05:35.482929,-63.9
ff48e6,0,28,22,0,717418259,-10,-42,0,41,2020-07-02 16:05:36.046802,-64.8
4b7560,0,28,68,0,731798860,-7,-42,0,41,2020-07-02 16:05:37.487298,-62.1
ff48e6,0,28,41,0,752322146,-8,-42,0,40,2020-07-02 16:05:39.539563,-63.0
2a7f3f,0,28,77,0,756511498,14,-43,0,40,2020-07-02 16:05:39.958165,-43.2
2a7f3f,0,28,16,0,774454893,6,-42,0,40,2020-07-02 16:05:41.742786,-50.4
2a7f3f,0,28,15,0,789292471,8,-17,0,41,2020-07-02 16:05:43.229530,-48.6
2a7f3f,0,28,74,0,800949352,15,-41,0,40,2020-07-02 16:05:44.398781,-42.3
4f9898,0,28,3,0,809122077,-39,-42,0,40,2020-07-02 16:05:45.218154,-90.9
2a7f3f,0,28,13,0,850522321,17,-38,0,41,2020-07-02 16:05:49.354137,-40.5
4b7560,0,28,70,0,891791481,-12,-40,0,40,2020-07-02 16:05:53.482999,-66.6
2a7f3f,0,28,56,0,940886204,18,-45,0,41,2020-07-02 16:05:58.394737,-39.6
ee488c,0,28,16,0,964274144,-24,-34,0,41,2020-07-02 16:06:00.730484,-77.4
2a7f3f,0,60,56,0,972408646,19,-12,0,40,2020-07-02 16:06:01.545727,-38.7
4b7560,0,28,54,0,1065547941,-8,-40,0,41,2020-07-02 16:06:10.860822,-63.0
2a7f3f,0,60,7,0,1097210096,17,-45,0,40,2020-07-02 16:06:14.024816,-40.5
2a7f3f,0,28,11,0,1101423043,15,-46,0,40,2020-07-02 16:06:14.446438,-42.3
2a7f3f,0,28,51,0,1109833428,22,-41,0,40,2020-07-02 16:06:15.287685,-36.0
cfb696,0,28,48,0,1122473264,-20,-43,0,40,2020-07-02 16:06:16.549556,-73.8
cfb696,0,28,48,0,1122773258,-20,-44,0,41,2020-07-02 16:06:16.587567,-73.8
cfb696,0,28,3,0,1125088587,-22,-42,0,41,2020-07-02 16:06:16.807808,-75.6
cfb696,0,28,3,0,1125188578,-23,-43,0,40,2020-07-02 16:06:16.825056,-76.5
cfb696,0,28,22,0,1128102643,-24,-42,0,41,2020-07-02 16:06:17.115058,-77.4
cfb696,0,28,60,0,1134785812,-28,-44,0,41,2020-07-02 16:06:17.786179,-81.0
cfb696,0,28,30,0,1136150788,-23,-36,0,40,2020-07-02 16:06:17.925678,-76.5
cfb696,0,28,30,0,1136250812,-20,-35,0,40,2020-07-02 16:06:17.941176,-73.8
cfb696,0,28,72,0,1146447639,-22,-44,0,41,2020-07-02 16:06:18.943629,-75.6
cfb696,0,28,72,0,1146747653,-23,-43,0,40,2020-07-02 16:06:18.982173,-76.5
cfb696,0,28,66,0,1172175617,-12,-40,0,40,2020-07-02 16:06:21.522418,-66.6
cfb696,0,28,78,0,1184388998,-1,-37,0,40,2020-07-02 16:06:22.741471,-56.7
cfb696,0,28,48,0,1185973604,-21,-44,0,41,2020-07-02 16:06:22.907912,-74.7
cfb696,0,28,20,0,1189508902,-23,-41,0,41,2020-07-02 16:06:23.257911,-76.5
0c3efd,0,28,9,0,1194176008,-38,-43,0,40,2020-07-02 16:06:23.723288,-90.0
07b038,0,28,17,0,1202265627,-37,-43,0,41,2020-07-02 16:06:24.533159,-89.1
2a7f3f,0,28,55,0,1208620928,20,-41,0,41,2020-07-02 16:06:25.163781,-37.8
2a7f3f,0,28,4,0,1236485697,18,-43,0,41,2020-07-02 16:06:27.956897,-39.6
2a7f3f,0,28,50,0,1282771272,23,-43,0,40,2020-07-02 16:06:32.580258,-35.1
67e30d,0,28,52,0,1284793668,-40,-44,0,41,2020-07-02 16:06:32.803508,-91.8
2a7f3f,0,28,63,0,1311358456,17,-28,0,41,2020-07-02 16:06:35.437999,-40.5
2a7f3f,0,28,21,0,1332432677,15,-39,0,41,2020-07-02 16:06:37.550499,-42.3
f103e7,0,28,74,0,1338057784,-35,-41,0,41,2020-07-02 16:06:38.111116,-87.3
2a7f3f,0,28,69,0,1380490077,13,-46,0,40,2020-07-02 16:06:42.355355,-44.1
